iter	RMSE
0	1.072340738
1	1.047398583
2	1.024134462
3	1.002462539
4	0.9824997701
5	0.9640814925
6	0.9483864824
7	0.9328479074
8	0.9186699835
9	0.9052615832
10	0.8932547414
11	0.8819735991
12	0.871830346
13	0.8622506219
14	0.8534693014
15	0.845561853
16	0.8383063985
17	0.8316559822
18	0.8256184171
19	0.8200773715
20	0.8148986252
21	0.810478475
22	0.8061417319
23	0.8023957309
24	0.7992242654
25	0.7959041418
26	0.7929699839
27	0.7903253569
28	0.7878790892
29	0.7855977996
30	0.7835572238
31	0.7816555408
32	0.7798770031
33	0.7783810889
34	0.7768242759
35	0.7755342378
36	0.7742921877
37	0.773207989
38	0.7721777531
39	0.7712144228
40	0.7704681162
41	0.7697366026
42	0.7690300239
43	0.7683376107
44	0.7677557802
45	0.7672084932
46	0.7667029263
47	0.7662524738
48	0.765860221
49	0.7654400029
50	0.765055448
51	0.7646320101
52	0.7642815059
53	0.7639806149
54	0.7637432941
55	0.7634696918
56	0.7632436249
57	0.7630380221
58	0.7628091551
59	0.7625895199
60	0.7624127923
61	0.76221027
62	0.7620296035
63	0.7618480172
64	0.761701425
65	0.7615772589
66	0.7614322693
67	0.7612451456
68	0.7611207318
69	0.7610027984
70	0.7609200729
71	0.7608184075
72	0.760727618
73	0.760636854
74	0.7605485127
75	0.7604092776
76	0.7603431195
77	0.7602663607
78	0.7601951307
79	0.7601058962
80	0.7600408917
81	0.7599899472
82	0.7598938212
83	0.7598524511
84	0.7598158838
85	0.759660006
86	0.7595493758
87	0.7594872285
88	0.7594116389
89	0.7592706194
90	0.7592115982
91	0.7592041902
92	0.7591613195
93	0.7591195049
94	0.7590299563
95	0.7589620841
96	0.7588928177
97	0.7588420948
98	0.7587480317
99	0.7587098877
100	0.7586386789
101	0.7585877498
102	0.7585511852
103	0.7584679433
104	0.7583906397
105	0.7583198413
106	0.7582308413
107	0.7582204773
108	0.7581922988
109	0.7581222059
110	0.7580705767
111	0.7580437641
112	0.7579702351
113	0.7578868351
114	0.7578582208
115	0.7578026762
116	0.7577710315
117	0.7577177708
118	0.7576754451
119	0.7575800699
120	0.7575527013
121	0.7575016641
122	0.7574640975
123	0.7573805965
124	0.7573492841
125	0.7573194496
126	0.7572987001
127	0.7572524792
128	0.7572255899
129	0.7571550516
130	0.7570929511
131	0.757038928
132	0.7570036068
133	0.7569482659
134	0.7569180882
135	0.7568481016
136	0.7568063742
137	0.7567671709
138	0.7567289386
139	0.7566990879
140	0.7566472984
141	0.756586486
142	0.7564961179
143	0.7564425759
144	0.7563964226
145	0.7563204821
146	0.7562906517
147	0.7562531023
148	0.7561861419
149	0.756149195
150	0.7561214082
151	0.7560873613
152	0.7560025384
153	0.7559252224
154	0.7558667607
155	0.7558208289
156	0.7558067826
157	0.7557730067
158	0.7557412646
159	0.7556751989
160	0.7556399591
161	0.7555988392
162	0.7555396181
163	0.75551769
164	0.7554536731
165	0.7554187575
166	0.7553786765
167	0.7553568345
168	0.7552439874
169	0.7552219712
170	0.7552158331
171	0.7552029731
172	0.7551804045
173	0.7551547216
174	0.7551474834
175	0.7551122325
176	0.7550932665
177	0.7550592089
178	0.7550517514
179	0.7549826252
180	0.75492051
181	0.7548946794
182	0.7548652389
183	0.7547986233
184	0.7547759866
185	0.7547327366
186	0.7547134104
187	0.7546605841
188	0.7546250692
189	0.7545970155
190	0.7545508448
191	0.7545381056
192	0.754498922
193	0.7544953396
194	0.7544561188
195	0.754407954
196	0.754368897
197	0.7543127944
198	0.7542581009
199	0.7542051456
200	0.7541298581
201	0.7540801879
202	0.7540502504
203	0.7539985378
204	0.75394561
205	0.753933495
206	0.7538793733
207	0.7538298273
208	0.7537697576
209	0.7537005061
210	0.7536346724
211	0.7536098309
212	0.7535739795
213	0.7535383545
214	0.7534805356
215	0.7534290384
216	0.753370696
217	0.7533521162
218	0.7533039756
219	0.7532542917
220	0.753190113
221	0.7531360046
222	0.7530697253
223	0.7530068611
224	0.7529539954
225	0.7529189015
226	0.7528708668
227	0.7528268211
228	0.7527791603
229	0.7527358704
230	0.7527109666
231	0.7526543237
232	0.7525922465
233	0.7525695105
234	0.7525358191
235	0.7524891182
236	0.7524278071
237	0.7523752865
238	0.7523295199
239	0.7522901398
240	0.7522552049
241	0.7521981296
242	0.7520915294
243	0.7520357204
244	0.7519708259
245	0.7519396679
246	0.75190572
247	0.7518601458
248	0.751826089
249	0.7517980162
250	0.7517633428
251	0.7517077185
252	0.7516470607
253	0.7515656682
254	0.7515221064
255	0.7514813138
256	0.751435205
257	0.7513990214
258	0.7513519359
259	0.751304853
260	0.7512662145
261	0.7512064944
262	0.7511659788
263	0.7511065441
264	0.7510793105
265	0.7510204393
266	0.7509404026
267	0.7509023564
268	0.7508508321
269	0.7507927386
270	0.7507362737
271	0.7507015859
272	0.7506479912
273	0.7506244538
274	0.7505801657
275	0.7505401385
276	0.7505073977
277	0.7504798683
278	0.7504398566
279	0.7503936324
280	0.7503585479
281	0.7503231436
282	0.7502735229
283	0.7502454943
284	0.7502104553
285	0.7501649609
286	0.7501285039
287	0.7500918934
288	0.7500231938
289	0.7499939386
290	0.7499599465
291	0.7499088671
292	0.7498717251
293	0.7498492401
294	0.7498154262
295	0.7497637509
296	0.7497409655
297	0.7496915332
298	0.7496423472
299	0.749609129
