iter	Passed	Remaining
0	7	2101
1	13	2049
2	20	2049
3	27	2042
4	34	2031
5	41	2024
6	43	1837
7	50	1856
8	57	1872
9	64	1877
10	71	1880
11	78	1874
12	84	1870
13	91	1876
14	98	1872
15	105	1872
16	112	1868
17	118	1859
18	125	1852
19	132	1848
20	138	1841
21	142	1795
22	148	1791
23	155	1786
24	157	1736
25	164	1732
26	170	1728
27	178	1729
28	185	1730
29	192	1730
30	198	1725
31	206	1727
32	212	1721
33	217	1704
34	224	1702
35	231	1698
36	238	1692
37	244	1688
38	252	1688
39	259	1684
40	262	1660
41	269	1657
42	276	1654
43	283	1651
44	290	1646
45	297	1640
46	303	1634
47	310	1629
48	316	1623
49	323	1618
50	330	1613
51	337	1609
52	344	1604
53	349	1590
54	355	1584
55	362	1580
56	369	1576
57	376	1571
58	383	1566
59	390	1561
60	397	1558
61	404	1551
62	410	1544
63	416	1537
64	423	1531
65	430	1525
66	436	1518
67	443	1512
68	449	1505
69	456	1501
70	463	1494
71	469	1488
72	476	1481
73	483	1476
74	489	1469
75	496	1462
76	502	1455
77	509	1449
78	516	1444
79	522	1437
80	529	1431
81	535	1424
82	542	1417
83	549	1412
84	552	1397
85	559	1391
86	566	1386
87	573	1380
88	579	1374
89	586	1369
90	593	1362
91	596	1348
92	602	1341
93	609	1335
94	615	1329
95	622	1323
96	629	1316
97	636	1311
98	642	1305
99	649	1298
100	656	1292
101	662	1286
102	669	1280
103	676	1274
104	682	1268
105	689	1261
106	696	1256
107	699	1243
108	705	1237
109	713	1231
110	719	1225
111	726	1218
112	732	1212
113	739	1206
114	746	1200
115	752	1194
116	759	1187
117	765	1181
118	773	1175
119	779	1169
120	786	1163
121	792	1156
122	799	1150
123	806	1144
124	813	1138
125	820	1132
126	827	1127
127	834	1120
128	840	1114
129	847	1107
130	853	1101
131	860	1095
132	866	1088
133	873	1082
134	880	1075
135	886	1069
136	893	1062
137	899	1055
138	906	1049
139	912	1042
140	915	1032
141	922	1026
142	929	1020
143	936	1014
144	942	1007
145	948	1000
146	956	995
147	962	988
148	969	982
149	975	975
150	982	969
151	988	962
152	995	956
153	1001	949
154	1008	943
155	1014	936
156	1021	930
157	1028	924
158	1034	917
159	1041	911
160	1048	904
161	1054	898
162	1061	892
163	1068	885
164	1074	879
165	1081	872
166	1087	866
167	1095	860
168	1102	854
169	1108	847
170	1112	838
171	1119	832
172	1126	826
173	1132	820
174	1139	813
175	1146	807
176	1152	800
177	1155	791
178	1161	785
179	1168	778
180	1175	772
181	1181	766
182	1188	759
183	1195	753
184	1201	746
185	1208	740
186	1211	731
187	1217	725
188	1224	719
189	1231	712
190	1239	707
191	1242	698
192	1249	692
193	1251	683
194	1257	677
195	1264	670
196	1270	664
197	1277	658
198	1283	651
199	1290	645
200	1297	638
201	1303	632
202	1310	626
203	1317	619
204	1323	613
205	1329	606
206	1336	600
207	1344	594
208	1351	588
209	1358	582
210	1365	576
211	1372	569
212	1379	563
213	1386	557
214	1393	551
215	1401	544
216	1408	538
217	1415	532
218	1422	526
219	1429	519
220	1436	513
221	1442	506
222	1449	500
223	1456	494
224	1462	487
225	1469	481
226	1475	474
227	1482	468
228	1489	461
229	1496	455
230	1502	448
231	1509	442
232	1516	436
233	1523	429
234	1529	423
235	1536	416
236	1542	410
237	1549	403
238	1556	397
239	1562	390
240	1569	384
241	1575	377
242	1582	371
243	1588	364
244	1595	358
245	1601	351
246	1609	345
247	1616	338
248	1622	332
249	1629	325
250	1636	319
251	1644	313
252	1650	306
253	1657	300
254	1663	293
255	1670	287
256	1676	280
257	1683	274
258	1689	267
259	1696	261
260	1703	254
261	1709	247
262	1716	241
263	1722	234
264	1728	228
265	1735	221
266	1742	215
267	1748	208
268	1755	202
269	1762	195
270	1769	189
271	1775	182
272	1782	176
273	1788	169
274	1795	163
275	1802	156
276	1809	150
277	1815	143
278	1822	137
279	1829	130
280	1835	124
281	1842	117
282	1848	111
283	1853	104
284	1859	97
285	1866	91
286	1872	84
287	1879	78
288	1885	71
289	1892	65
290	1899	58
291	1905	52
292	1912	45
293	1919	39
294	1925	32
295	1932	26
296	1938	19
297	1944	13
298	1951	6
299	1957	0
